Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_019924535.1	ASM1992453v1	Aureobasidium melanogenum	46634			EXF-9298					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXS01	
GCA_019924465.1	ASM1992446v1	Aureobasidium melanogenum	46634			EXF-9313					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXQ01	
GCA_019924025.1	ASM1992402v1	Aureobasidium melanogenum	46634			EXF-11028					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFWX01	
GCA_019924555.1	ASM1992455v1	Aureobasidium melanogenum	46634			EXF-9470					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXU01	
GCA_019924485.1	ASM1992448v1	Aureobasidium melanogenum	46634			EXF-9304					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXR01	
GCA_019925775.1	ASM1992577v1	Aureobasidium melanogenum	46634			EXF-8258					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFYE01	
GCA_019924615.1	ASM1992461v1	Aureobasidium melanogenum	46634			EXF-8986					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXW01	
GCA_019924435.1	ASM1992443v1	Aureobasidium melanogenum	46634			EXF-9454					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXP01	
GCA_019924275.1	ASM1992427v1	Aureobasidium melanogenum	46634			EXF-10064					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXJ01	
GCA_019924735.1	ASM1992473v1	Aureobasidium melanogenum	46634			EXF-9877					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFYD01	
GCA_019924755.1	ASM1992475v1	Aureobasidium melanogenum	46634			EXF-8492					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFYB01	
GCA_019924575.1	ASM1992457v1	Aureobasidium melanogenum	46634			EXF-8702					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXX01	
GCA_019924905.1	ASM1992490v1	Aureobasidium melanogenum	46634			EXF-5590					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFYL01	
GCA_019924135.1	ASM1992413v1	Aureobasidium melanogenum	46634			EXF-10066					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXB01	
GCA_019924395.1	ASM1992439v1	Aureobasidium melanogenum	46634			EXF-9887					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXN01	
GCA_019924655.1	ASM1992465v1	Aureobasidium melanogenum	46634			EXF-8689					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXZ01	
GCA_019924155.1	ASM1992415v1	Aureobasidium melanogenum	46634			EXF-10061					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXD01	
GCA_019924215.1	ASM1992421v1	Aureobasidium melanogenum	46634			EXF-10062					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXC01	
GCA_019924675.1	ASM1992467v1	Aureobasidium melanogenum	46634			EXF-8695					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXY01	
GCA_019924695.1	ASM1992469v1	Aureobasidium melanogenum	46634			EXF-8678					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFYA01	
GCA_019924375.1	ASM1992437v1	Aureobasidium melanogenum	46634			EXF-9516					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXM01	
GCA_019924315.1	ASM1992431v1	Aureobasidium melanogenum	46634			EXF-9875					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXH01	
GCA_019924115.1	ASM1992411v1	Aureobasidium melanogenum	46634			EXF-10333					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXA01	
GCA_019924295.1	ASM1992429v1	Aureobasidium melanogenum	46634			EXF-11060					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFXI01	
GCA_019924775.1	ASM1992477v1	Aureobasidium melanogenum	46634			EXF-11403					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFYC01	
GCA_019925215.1	ASM1992521v1	Aureobasidium melanogenum	46634			EXF-926					Annotation submitted by University of Ljubljana, Biotechnical Faculty	Contig	2021-09-10	JAHFYS01	
GCA_008522505.1	Pgt_210	Puccinia graminis f. sp. tritici	56615						21-0		Annotation submitted by University of Minnesota	Scaffold	2019-09-11	VSWC01	208
GCA_008520325.1	Pgt_Ug99	Puccinia graminis f. sp. tritici	56615			Ug99					Annotation submitted by University of Minnesota	Contig	2019-09-11	VDEP01	
GCA_000813385.1	ASM81338v1	Valsa mali var. pyri (nom. inval.)	694573			SXYL134					Annotation submitted by Northwest A&F University	Scaffold	2015-01-05	JUIZ01	475
GCA_000513255.1	PROQFM164_20130607	Penicillium roqueforti FM164	1365484			FM164					Annotation submitted by INRA-LIPM	Scaffold	2013-11-27	CBMR01	48
GCA_001691835.3	ASM169183v3	Volvariella volvacea WC 439	1457512			WC 439					Annotation submitted by Harvard University	Scaffold	2018-10-17	JNHZ02	1505
GCA_020744115.1	Fustri1	Fusarium avenaceum	40199			MPI-SDFR-AT-0044					Annotation submitted by DOE Joint Genome Institute	Contig	2021-11-04	JAGMVH01	
GCA_036320845.1	ASM3632084v1	Penicillium citrinum	5077			B9					Annotation submitted by Temasek Life Sciences laboratories	Contig	2024-01-31	JAWVBB01	
GCA_004156035.1	ASM415603v1	Alternaria tenuissima	119927			FERA 1166					Harrison Lab NIAB-EMR Release 1.01	Contig	2019-02-11	PDXC01	
GCA_004154765.1	ASM415476v1	Alternaria tenuissima	119927			FERA 648					Harrison Lab NIAB-EMR Release 1.01	Contig	2019-02-11	PDXG01	
GCA_000769215.1	Fave_05001	Fusarium avenaceum	40199			Fa05001					Annotation submitted by Collaboration between Erik Lysøe (Department of Plant Health and Plant Protection, Bioforsk - Norwegian Institute of Agricultural and Environmental Research) and Linda Harris (Eastern Cereal & Oilseed Research Centre, Agriculture & Agri-Food Canada).	Scaffold	2014-10-10	JPYM01	82
GCA_018282135.1	ASM1828213v1	Fusarium avenaceum	40199			F156N33					Annotation submitted by Virginia Tech	Scaffold	2021-05-05	JAGPUO01	214
GCA_016906325.1	ASM1690632v1	Monilinia fructicola	38448			CPMC6					Annotation submitted by Wageningen University	Contig	2021-02-18	RKRL01	
GCA_012959155.1	ASM1295915v1	Fusarium avenaceum	40199			KA13					Annotation submitted by University of Massachusetts Amherst	Scaffold	2020-05-04	JABCRA01	34
GCA_004156015.1	ASM415601v1	Alternaria tenuissima	119927			FERA 1164					Harrison Lab NIAB-EMR Release 1.01	Scaffold	2019-02-11	PDXB01	250
GCA_004154735.1	ASM415473v1	Alternaria tenuissima	119927			FERA 24350					Harrison Lab NIAB-EMR Release 1.01	Scaffold	2019-02-11	PDXE01	167
GCA_004154845.1	ASM415484v1	Alternaria tenuissima	119927			FERA 743					Harrison Lab NIAB-EMR Release 1.01	Scaffold	2019-02-11	PDXH01	788
GCA_004154745.1	ASM415474v1	Alternaria tenuissima	119927			FERA 1082					Harrison Lab NIAB-EMR Release 1.01	Scaffold	2019-02-11	PDXA01	345
GCA_004168565.1	ASM416856v1	Alternaria tenuissima	119927			FERA 635					Harrison Lab NIAB-EMR Release 1.01	Scaffold	2019-02-11	PDXF01	912
GCA_001445595.3	Rnecatrix_2.0	Rosellinia necatrix	77044			W97					Annotation submitted by NARO Institute of Fruit Tree Science	Scaffold	2017-02-01	BBSO02	239
GCA_002081675.1	ASM208167v1	Enterocytozoon hepatopenaei	646526			TH1					Annotation submitted by University of Exeter	Scaffold	2017-04-06	MNPJ01	62
GCA_000769765.1	ASM76976v1	Penicillium italicum	40296			PHI-1					Annotation submitted by Center for Genomic Regulation (CRG)	Contig	2014-10-28	JQGA01	
GCA_013305595.1	LMA-317_V2	Geotrichum candidum	1173061			LMA-317					Annotation submitted by Universite Laval	Scaffold	2020-06-09	QQZN01	527
GCA_013365125.1	LMA-70_V2	Geotrichum candidum	1173061			LMA-70					Annotation submitted by Universite Laval	Scaffold	2020-06-09	QQZK01	841
GCA_013365065.1	LMA-1028_V2	Geotrichum candidum	1173061			LMA-1028					Annotation submitted by Universite Laval	Scaffold	2020-06-09	QQZO01	517
GCA_025234805.1	LMA-563_1	Geotrichum candidum	1173061			LMA-563					Annotation submitted by Universite Laval	Scaffold	2022-09-16	QXGY01	481
GCA_014596635.1	LMA-40_V2	Geotrichum candidum	1173061			LMA-40					Annotation submitted by Universite Laval	Scaffold	2020-09-15	QQZJ01	363
GCA_013365075.1	LMA-77_final	Geotrichum candidum	1173061			LMA-77					Annotation submitted by Universite Laval	Scaffold	2020-06-09	QQZL01	813
GCA_028858655.1	ChetPR9b_4	Bipolaris maydis	5016			PR9b					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-02-23	JAQZZQ01	113
GCA_028856445.1	ChetPR1x412_2	Bipolaris maydis	5016			PR1x412					Annotation submitted by DOE Joint Genome Institute	Contig	2023-02-24	JAQZZP01	
GCA_028751825.1	ChetHm338_1	Bipolaris maydis	5016			Hm338					Annotation submitted by DOE Joint Genome Institute	Contig	2023-02-21	JAQSSY01	
GCA_028891585.1	CocheC5_4m	Bipolaris maydis	5016			C5					Annotation submitted by DOE Joint Genome Institute	Contig	2023-02-28	JARAAY01	
GCA_019454015.1	ASM1945401v1	Bipolaris maydis	5016			BM1					Annotation submitted by Institute of Plant Protection, Chinese Academy of Agricultural Sciences	Contig	2021-08-05	JAHUAA01	
GCA_028564845.1	ChetHAW225_4	Bipolaris maydis	5016			HAW225					Annotation submitted by DOE Joint Genome Institute	Scaffold	2023-02-08	JAQRND01	111
GCA_002926055.1	CanHae_1.0	Candidozyma haemuli	45357			B11899					Annotation submitted by Centers for Disease Control and Prevention	Contig	2018-02-13	PKFO01	
GCA_041956555.1	Traver1	Trametes versicolor	5325			ATCC 20869					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-09-16	JAZGQW01	250
GCA_004920355.1	ASM492035v1	Colletotrichum higginsianum	80884			MAFF305635-RFP					Annotation submitted by RIKEN	Contig	2019-04-29	MWPZ01	
GCA_023705605.1	Chig_4.0	Colletotrichum higginsianum	80884			MAFF 245053					Annotation submitted by The University of Tokyo	Contig	2022-05-23	BPPY01	
GCA_900237765.1	BghRACE1_v1	Blumeria hordei	2867405			RACE1			RACE1		Annotation submitted by MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	Contig	2018-09-28	UNSH01	
GCA_038497525.1	Lipsta1_1	Lipomyces starkeyi	29829			Phaff 78-25					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-04-24	JBBJJN01	295
GCA_038497675.1	Lst8064_1	Lipomyces starkeyi	29829			CBS 8064					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-04-24	JBBJJL01	277
GCA_038497405.1	Lst7536_1	Lipomyces starkeyi	29829			CBS 7536					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-04-24	JBBIWK01	365
GCA_900162805.1	version 1	Zygosaccharomyces bailii	4954			IST302					Annotation submitted by Institute of Bioinformatics and Systems Biology	Scaffold	2017-06-15	FUGC01	105
GCA_038497925.1	Lst7851_1	Lipomyces starkeyi	29829			CBS 7851					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-04-24	JBBIWV01	323
GCA_038497555.1	Lipstark1_1	Lipomyces starkeyi	29829			Phaff 55-103					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-04-24	JBBJJK01	500
GCA_038497545.1	Lipstar1_1	Lipomyces starkeyi	29829			Phaff 78-24					Annotation submitted by DOE Joint Genome Institute	Scaffold	2024-04-24	JBBIXR01	566
GCA_000313795.2	ASM31379v2	Colletotrichum higginsianum	80884			IMI 349063					Annotation submitted by Max Planck Institute for Plant Breeding Research	Scaffold	2012-03-15	CACQ02	10235
GCA_020569285.1	ASM2056928v1	Parastagonospora nodorum	13684			WAC13955					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREC01	200
GCA_020573595.1	ASM2057359v1	Parastagonospora nodorum	13684			Mur_S3					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHO01	283
GCA_020578205.1	ASM2057820v1	Parastagonospora nodorum	13684			16FG159					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFS01	860
GCA_020578315.1	ASM2057831v1	Parastagonospora nodorum	13684			16FG06					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIS01	231
GCA_020578265.1	ASM2057826v1	Parastagonospora nodorum	13684			16FG158					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIR01	986
GCA_020578075.1	ASM2057807v1	Parastagonospora nodorum	13684			16FG163_2					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFO01	370
GCA_020576195.1	ASM2057619v1	Parastagonospora nodorum	13684			16FG171					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFG01	299
GCA_020577795.1	ASM2057779v1	Parastagonospora nodorum	13684			16FG170					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFH01	332
GCA_020569235.1	ASM2056923v1	Parastagonospora nodorum	13684			WAC2216					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREB01	426
GCA_020578085.1	ASM2057808v1	Parastagonospora nodorum	13684			16FG164					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFN01	328
GCA_020571895.1	ASM2057189v1	Parastagonospora nodorum	13684			WAC13076					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREP01	450
GCA_020557385.1	ASM2055738v1	Parastagonospora nodorum	13684			WAC9178					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRDT01	941
GCA_020577905.1	ASM2057790v1	Parastagonospora nodorum	13684			16FG166					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFL01	309
GCA_020579815.1	ASM2057981v1	Parastagonospora nodorum	13684			15FG237					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIZ01	551
GCA_020580155.1	ASM2058015v1	Parastagonospora nodorum	13684			15FG115					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJF01	434
GCA_020577805.1	ASM2057780v1	Parastagonospora nodorum	13684			16FG168					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFJ01	340
GCA_020574145.1	ASM2057414v1	Parastagonospora nodorum	13684			FGW003_5					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREW01	535
GCA_020574055.1	ASM2057405v1	Parastagonospora nodorum	13684			Meck1					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHS01	470
GCA_020574265.1	ASM2057426v1	Parastagonospora nodorum	13684			FG106					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREY01	397
GCA_020570045.1	ASM2057004v1	Parastagonospora nodorum	13684			WAC13532					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREI01	433
GCA_020580905.1	ASM2058090v1	Parastagonospora nodorum	13684			15FG103					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFZ01	450
GCA_020568765.1	ASM2056876v1	Parastagonospora nodorum	13684			WAC4319					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRDY01	543
GCA_020577915.1	ASM2057791v1	Parastagonospora nodorum	13684			16FG165					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFM01	389
GCA_020575615.1	ASM2057561v1	Parastagonospora nodorum	13684			202FG212					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIL01	677
GCA_020574405.1	ASM2057440v1	Parastagonospora nodorum	13684			206FG227					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHY01	476
GCA_020574825.1	ASM2057482v1	Parastagonospora nodorum	13684			205FG216					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIB01	388
GCA_020576365.1	ASM2057636v1	Parastagonospora nodorum	13684			16FG169					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFI01	353
GCA_020572345.1	ASM2057234v1	Parastagonospora nodorum	13684			WAC13070					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHD01	408
GCA_020578095.1	ASM2057809v1	Parastagonospora nodorum	13684			16FG162					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFP01	373
GCA_020574085.1	ASM2057408v1	Parastagonospora nodorum	13684			Gerald4					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHT01	326
GCA_020578295.1	ASM2057829v1	Parastagonospora nodorum	13684			15FG99					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIT01	355
GCA_020575405.1	ASM2057540v1	Parastagonospora nodorum	13684			203FG58					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRII01	415
GCA_020569895.1	ASM2056989v1	Parastagonospora nodorum	13684			WAC13631					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGL01	511
GCA_020569145.1	ASM2056914v1	Parastagonospora nodorum	13684			WAC2285					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREA01	576
GCA_020574155.1	ASM2057415v1	Parastagonospora nodorum	13684			FG108					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREX01	514
GCA_020568935.1	ASM2056893v1	Parastagonospora nodorum	13684			WAC2813					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGH01	922
GCA_020574345.1	ASM2057434v1	Parastagonospora nodorum	13684			53FG143_2					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREZ01	420
GCA_020581275.1	ASM2058127v1	Parastagonospora nodorum	13684			14FG141					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJP01	917
GCA_020578105.1	ASM2057810v1	Parastagonospora nodorum	13684			16FG161					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFQ01	343
GCA_020578115.1	ASM2057811v1	Parastagonospora nodorum	13684			16FG160					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFR01	326
GCA_020569485.1	ASM2056948v1	Parastagonospora nodorum	13684			WAC13691					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGI01	943
GCA_020573725.1	ASM2057372v1	Parastagonospora nodorum	13684			Meck6					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREU01	1089
GCA_020573325.1	ASM2057332v1	Parastagonospora nodorum	13684			Nor_RAC2182_2					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRET01	555
GCA_020578375.1	ASM2057837v1	Parastagonospora nodorum	13684			15FG49					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFT01	448
GCA_020568465.1	ASM2056846v1	Parastagonospora nodorum	13684			WAC4808					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRDW01	533
GCA_020568945.1	ASM2056894v1	Parastagonospora nodorum	13684			WAC2810					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRDZ01	1032
GCA_020580725.1	ASM2058072v1	Parastagonospora nodorum	13684			15FG107					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJJ01	442
GCA_020570935.1	ASM2057093v1	Parastagonospora nodorum	13684			WAC13524					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREL01	486
GCA_020574715.1	ASM2057471v1	Parastagonospora nodorum	13684			206FG226					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFC01	1063
GCA_020577855.1	ASM2057785v1	Parastagonospora nodorum	13684			16FG167					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFK01	386
GCA_020572945.1	ASM2057294v1	Parastagonospora nodorum	13684			Northam_WGT					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHJ01	961
GCA_020570415.1	ASM2057041v1	Parastagonospora nodorum	13684			WAC13529					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGO01	425
GCA_020580085.1	ASM2058008v1	Parastagonospora nodorum	13684			15FG118					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJD01	791
GCA_020570685.1	ASM2057068v1	Parastagonospora nodorum	13684			WAC13526					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGQ01	363
GCA_020581045.1	ASM2058104v1	Parastagonospora nodorum	13684			15FG101					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJM01	731
GCA_020572315.1	ASM2057231v1	Parastagonospora nodorum	13684			WAC13072					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHB01	1264
GCA_020569685.1	ASM2056968v1	Parastagonospora nodorum	13684			WAC13632					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGK01	478
GCA_020572075.1	ASM2057207v1	Parastagonospora nodorum	13684			WAC13074					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHA01	544
GCA_020573605.1	ASM2057360v1	Parastagonospora nodorum	13684			Mur_51					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHP01	578
GCA_020573275.1	ASM2057327v1	Parastagonospora nodorum	13684			Northam_Mace1					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHK01	543
GCA_020579835.1	ASM2057983v1	Parastagonospora nodorum	13684			15FG229					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJA01	562
GCA_020575485.1	ASM2057548v1	Parastagonospora nodorum	13684			202FG414					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIK01	1092
GCA_020574295.1	ASM2057429v1	Parastagonospora nodorum	13684			FG107					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHV01	539
GCA_020571965.1	ASM2057196v1	Parastagonospora nodorum	13684			WAC13075					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGZ01	483
GCA_020571545.1	ASM2057154v1	Parastagonospora nodorum	13684			WAC13405					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREO01	919
GCA_020574375.1	ASM2057437v1	Parastagonospora nodorum	13684			206FG68					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFA01	439
GCA_020574725.1	ASM2057472v1	Parastagonospora nodorum	13684			205FG410					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFD01	364
GCA_020569515.1	ASM2056951v1	Parastagonospora nodorum	13684			WAC13666					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGJ01	523
GCA_020570735.1	ASM2057073v1	Parastagonospora nodorum	13684			WAC13525					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGR01	464
GCA_020571295.1	ASM2057129v1	Parastagonospora nodorum	13684			WAC13443					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGU01	501
GCA_020575355.1	ASM2057535v1	Parastagonospora nodorum	13684			204FG214					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIH01	445
GCA_020572635.1	ASM2057263v1	Parastagonospora nodorum	13684			WAC13069					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHE01	454
GCA_020579825.1	ASM2057982v1	Parastagonospora nodorum	13684			15FG28					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIY01	1141
GCA_020574595.1	ASM2057459v1	Parastagonospora nodorum	13684			206FG66					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHX01	624
GCA_020576185.1	ASM2057618v1	Parastagonospora nodorum	13684			201FG208					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIQ01	984
GCA_020570405.1	ASM2057040v1	Parastagonospora nodorum	13684			WAC13530					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREJ01	537
GCA_020580075.1	ASM2058007v1	Parastagonospora nodorum	13684			15FG119					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRJC01	808
GCA_020574115.1	ASM2057411v1	Parastagonospora nodorum	13684			Gerald1					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHU01	514
GCA_020570975.1	ASM2057097v1	Parastagonospora nodorum	13684			WAC13447					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGT01	805
GCA_020567955.1	ASM2056795v1	Parastagonospora nodorum	13684			WAC8635					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGA01	945
GCA_020575645.1	ASM2057564v1	Parastagonospora nodorum	13684			201FG49					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIM01	768
GCA_020568635.1	ASM2056863v1	Parastagonospora nodorum	13684			WAC4648					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRDX01	467
GCA_020570525.1	ASM2057052v1	Parastagonospora nodorum	13684			WAC13528					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREK01	492
GCA_020569505.1	ASM2056950v1	Parastagonospora nodorum	13684			WAC13667					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREE01	563
GCA_020572395.1	ASM2057239v1	Parastagonospora nodorum	13684			S4FT3A					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHG01	799
GCA_020578615.1	ASM2057861v1	Parastagonospora nodorum	13684			15FG33					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIX01	691
GCA_020570395.1	ASM2057039v1	Parastagonospora nodorum	13684			WAC13531					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGN01	462
GCA_020575775.1	ASM2057577v1	Parastagonospora nodorum	13684			201FG219					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIN01	752
GCA_020573765.1	ASM2057376v1	Parastagonospora nodorum	13684			Meck5					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIREV01	830
GCA_020574875.1	ASM2057487v1	Parastagonospora nodorum	13684			205FG215_1					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIC01	739
GCA_020580415.1	ASM2058041v1	Parastagonospora nodorum	13684			15FG113					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRFW01	672
GCA_020573285.1	ASM2057328v1	Parastagonospora nodorum	13684			Northam_Emu2					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRHL01	523
GCA_020568205.1	ASM2056820v1	Parastagonospora nodorum	13684			WAC741					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRGE01	630
GCA_020578515.1	ASM2057851v1	Parastagonospora nodorum	13684			15FG38					Annotation submitted by Curtin University of Technology	Scaffold	2021-10-25	JAIRIV01	866
